Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,Borough
130363,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,202,Downtown - Heights - Slope,2005-2007,01/01/2005,58.9,,Others Boroughs
130364,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,203,Bedford Stuyvesant - Crown Heights,2005-2007,01/01/2005,80.0,,Brooklyn
130365,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,204,East New York,2005-2007,01/01/2005,64.1,,Others Boroughs
130366,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,205,Sunset Park,2005-2007,01/01/2005,49.2,,Brooklyn
130367,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,206,Borough Park,2005-2007,01/01/2005,68.2,,Others Boroughs
130368,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,207,East Flatbush - Flatbush,2005-2007,01/01/2005,54.9,,Others Boroughs
130369,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,208,Canarsie - Flatlands,2005-2007,01/01/2005,61.1,,Others Boroughs
130370,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,209,Bensonhurst - Bay Ridge,2005-2007,01/01/2005,73.4,,Brooklyn
130371,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,210,Coney Island - Sheepshead Bay,2005-2007,01/01/2005,83.3,,Brooklyn
130372,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,211,Williamsburg - Bushwick,2005-2007,01/01/2005,72.2,,Brooklyn
130373,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,301,Washington Heights,2005-2007,01/01/2005,60.5,,Manhattan
130374,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,302,Central Harlem - Morningside Heights,2005-2007,01/01/2005,105.2,,Manhattan
130375,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,303,East Harlem,2005-2007,01/01/2005,100.5,,Manhattan
130376,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,304,Upper West Side,2005-2007,01/01/2005,59.5,,Manhattan
130377,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,305,Upper East Side,2005-2007,01/01/2005,55.3,,Manhattan
130378,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,306,Chelsea - Clinton,2005-2007,01/01/2005,57.5,,Manhattan
130379,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,307,Gramercy Park - Murray Hill,2005-2007,01/01/2005,52.7,,Others Boroughs
130380,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2005-2007,01/01/2005,45.4,,Manhattan
130381,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,309,Union Square - Lower East Side,2005-2007,01/01/2005,66.9,,Manhattan
130382,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,310,Lower Manhattan,2005-2007,01/01/2005,59.5,,Manhattan
130383,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,401,Long Island City - Astoria,2005-2007,01/01/2005,55.3,,Queens
130384,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,402,West Queens,2005-2007,01/01/2005,44.6,,Queens
130385,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,403,Flushing - Clearview,2005-2007,01/01/2005,54.5,,Queens
130386,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,404,Bayside - Little Neck,2005-2007,01/01/2005,48.9,,Queens
130387,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,405,Ridgewood - Forest Hills,2005-2007,01/01/2005,72.0,,Queens
130388,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,406,Fresh Meadows,2005-2007,01/01/2005,52.0,,Queens
164932,383,Sulfur Dioxide (SO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Winter 2009-10,12/01/2009,4.24,,Others Boroughs
130389,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,407,Southwest Queens,2005-2007,01/01/2005,49.0,,Queens
130390,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,408,Jamaica,2005-2007,01/01/2005,58.2,,Queens
130391,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,409,Southeast Queens,2005-2007,01/01/2005,43.0,,Queens
130392,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,410,Rockaways,2005-2007,01/01/2005,101.1,,Queens
130393,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,501,Port Richmond,2005-2007,01/01/2005,65.6,,Staten Island
130394,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,502,Stapleton - St. George,2005-2007,01/01/2005,80.3,,Staten Island
130395,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,503,Willowbrook,2005-2007,01/01/2005,73.8,,Staten Island
130396,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,504,South Beach - Tottenville,2005-2007,01/01/2005,65.0,,Staten Island
130397,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,17.6,,Bronx
130398,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,102,Northeast Bronx,2013,01/01/2013,2.2,,Bronx
130399,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,2013,01/01/2013,24.5,,Bronx
130400,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,2013,01/01/2013,4.4,,Bronx
130401,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,01/01/2013,16.9,,Bronx
130402,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,01/01/2013,19.7,,Bronx
130403,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,107,Hunts Point - Mott Haven,2013,01/01/2013,3.3,,Bronx
130404,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,201,Greenpoint,2013,01/01/2013,0.4,,Brooklyn
130405,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,202,Downtown - Heights - Slope,2013,01/01/2013,0.8,,Others Boroughs
130406,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/01/2013,0.9,,Brooklyn
130407,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,204,East New York,2013,01/01/2013,0.1,,Others Boroughs
130408,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,205,Sunset Park,2013,01/01/2013,0.1,,Brooklyn
130409,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,206,Borough Park,2013,01/01/2013,1.5,,Others Boroughs
130410,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,2013,01/01/2013,2.3,,Others Boroughs
130411,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,208,Canarsie - Flatlands,2013,01/01/2013,0.0,,Others Boroughs
130412,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,01/01/2013,1.7,,Brooklyn
130413,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,0.9,,Brooklyn
130414,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,2013,01/01/2013,0.3,,Brooklyn
130415,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,301,Washington Heights,2013,01/01/2013,51.0,,Manhattan
130416,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,302,Central Harlem - Morningside Heights,2013,01/01/2013,15.7,,Manhattan
130417,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,303,East Harlem,2013,01/01/2013,11.6,,Manhattan
130418,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,304,Upper West Side,2013,01/01/2013,99.7,,Manhattan
130419,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,305,Upper East Side,2013,01/01/2013,95.0,,Manhattan
130420,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,306,Chelsea - Clinton,2013,01/01/2013,67.4,,Manhattan
130421,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,307,Gramercy Park - Murray Hill,2013,01/01/2013,78.8,,Others Boroughs
130422,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,308,Greenwich Village - SoHo,2013,01/01/2013,32.9,,Manhattan
130423,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,309,Union Square - Lower East Side,2013,01/01/2013,24.9,,Manhattan
130424,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,310,Lower Manhattan,2013,01/01/2013,13.7,,Manhattan
130425,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,401,Long Island City - Astoria,2013,01/01/2013,6.7,,Queens
130426,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,402,West Queens,2013,01/01/2013,2.3,,Queens
130427,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,403,Flushing - Clearview,2013,01/01/2013,5.1,,Queens
130428,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,404,Bayside - Little Neck,2013,01/01/2013,1.6,,Queens
130429,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,405,Ridgewood - Forest Hills,2013,01/01/2013,2.7,,Queens
130430,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,406,Fresh Meadows,2013,01/01/2013,4.3,,Queens
130431,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,407,Southwest Queens,2013,01/01/2013,0.8,,Queens
130432,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,408,Jamaica,2013,01/01/2013,0.5,,Queens
130433,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,409,Southeast Queens,2013,01/01/2013,0.3,,Queens
130434,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,410,Rockaways,2013,01/01/2013,0.0,,Queens
130435,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,501,Port Richmond,2013,01/01/2013,0.0,,Staten Island
130436,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,502,Stapleton - St. George,2013,01/01/2013,0.4,,Staten Island
130437,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,503,Willowbrook,2013,01/01/2013,0.0,,Staten Island
130438,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,504,South Beach - Tottenville,2013,01/01/2013,0.0,,Staten Island
130439,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Citywide,1,New York City,2013,01/01/2013,6.1,,Manhattan
130440,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,1,Bronx,2013,01/01/2013,10.3,,Bronx
130441,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,2,Brooklyn,2013,01/01/2013,0.8,,Brooklyn
130442,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,3,Manhattan,2013,01/01/2013,50.6,,Manhattan
130443,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,4,Queens,2013,01/01/2013,2.2,,Queens
130444,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,5,Staten Island,2013,01/01/2013,0.1,,Staten Island
130445,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,2.0,,Bronx
130446,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,102,Northeast Bronx,2013,01/01/2013,0.3,,Bronx
130447,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,2013,01/01/2013,3.0,,Bronx
130448,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,2013,01/01/2013,0.5,,Bronx
130449,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,01/01/2013,2.0,,Bronx
130450,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,01/01/2013,2.4,,Bronx
130451,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,107,Hunts Point - Mott Haven,2013,01/01/2013,0.4,,Bronx
130452,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,201,Greenpoint,2013,01/01/2013,0.1,,Brooklyn
130453,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,202,Downtown - Heights - Slope,2013,01/01/2013,0.1,,Others Boroughs
130454,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/01/2013,0.1,,Brooklyn
130455,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,204,East New York,2013,01/01/2013,0.0,,Others Boroughs
130456,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,205,Sunset Park,2013,01/01/2013,0.0,,Brooklyn
130457,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,206,Borough Park,2013,01/01/2013,0.2,,Others Boroughs
130458,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,2013,01/01/2013,0.3,,Others Boroughs
130459,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,208,Canarsie - Flatlands,2013,01/01/2013,0.0,,Others Boroughs
130460,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,01/01/2013,0.2,,Brooklyn
130461,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,0.1,,Brooklyn
130462,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,2013,01/01/2013,0.1,,Brooklyn
130463,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,301,Washington Heights,2013,01/01/2013,5.8,,Manhattan
130464,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,302,Central Harlem - Morningside Heights,2013,01/01/2013,2.0,,Manhattan
130465,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,303,East Harlem,2013,01/01/2013,1.3,,Manhattan
130466,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,304,Upper West Side,2013,01/01/2013,11.4,,Manhattan
130467,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,305,Upper East Side,2013,01/01/2013,10.8,,Manhattan
130468,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,306,Chelsea - Clinton,2013,01/01/2013,7.7,,Manhattan
130469,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,307,Gramercy Park - Murray Hill,2013,01/01/2013,9.0,,Others Boroughs
130470,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,308,Greenwich Village - SoHo,2013,01/01/2013,4.1,,Manhattan
130471,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,309,Union Square - Lower East Side,2013,01/01/2013,3.0,,Manhattan
130472,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,310,Lower Manhattan,2013,01/01/2013,1.7,,Manhattan
130473,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,401,Long Island City - Astoria,2013,01/01/2013,0.8,,Queens
130474,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,402,West Queens,2013,01/01/2013,0.3,,Queens
130475,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,403,Flushing - Clearview,2013,01/01/2013,0.6,,Queens
130476,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,404,Bayside - Little Neck,2013,01/01/2013,0.2,,Queens
130477,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,405,Ridgewood - Forest Hills,2013,01/01/2013,0.3,,Queens
130478,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,406,Fresh Meadows,2013,01/01/2013,0.5,,Queens
130479,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,407,Southwest Queens,2013,01/01/2013,0.1,,Queens
130480,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,408,Jamaica,2013,01/01/2013,0.1,,Queens
130481,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,409,Southeast Queens,2013,01/01/2013,0.0,,Queens
130482,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,410,Rockaways,2013,01/01/2013,0.0,,Queens
130483,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,501,Port Richmond,2013,01/01/2013,0.0,,Staten Island
130484,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,502,Stapleton - St. George,2013,01/01/2013,0.0,,Staten Island
130485,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,503,Willowbrook,2013,01/01/2013,0.0,,Staten Island
130486,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,504,South Beach - Tottenville,2013,01/01/2013,0.0,,Staten Island
130487,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Citywide,1,New York City,2013,01/01/2013,0.7,,Manhattan
130488,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,1,Bronx,2013,01/01/2013,1.2,,Bronx
130489,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,2,Brooklyn,2013,01/01/2013,0.1,,Brooklyn
130490,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,3,Manhattan,2013,01/01/2013,5.9,,Manhattan
130491,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,4,Queens,2013,01/01/2013,0.3,,Queens
130492,641,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,5,Staten Island,2013,01/01/2013,0.0,,Staten Island
130493,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,42.5,,Bronx
130494,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,102,Northeast Bronx,2013,01/01/2013,33.8,,Bronx
130495,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,2013,01/01/2013,71.0,,Bronx
130496,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,2013,01/01/2013,24.9,,Bronx
130497,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,01/01/2013,62.5,,Bronx
130498,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,01/01/2013,78.0,,Bronx
130499,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,107,Hunts Point - Mott Haven,2013,01/01/2013,36.8,,Bronx
130500,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,201,Greenpoint,2013,01/01/2013,18.9,,Brooklyn
130501,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,202,Downtown - Heights - Slope,2013,01/01/2013,32.0,,Others Boroughs
130502,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/01/2013,31.7,,Brooklyn
130503,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,204,East New York,2013,01/01/2013,14.7,,Others Boroughs
130504,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,205,Sunset Park,2013,01/01/2013,13.4,,Brooklyn
130505,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,206,Borough Park,2013,01/01/2013,34.8,,Others Boroughs
130506,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,2013,01/01/2013,33.5,,Others Boroughs
130507,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,208,Canarsie - Flatlands,2013,01/01/2013,6.7,,Others Boroughs
130508,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,01/01/2013,26.5,,Brooklyn
130509,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,23.7,,Brooklyn
130510,642,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,2013,01/01/2013,27.8,,Brooklyn
